
		Copies and Copyright-Notice

User is not entitled to change or erase data sets of the RegulonDB
database or to eliminate copyright notices from RegulonDB. Furthermore,
User is not entitled to expand RegulonDB or to integrate RegulonDB partly
or as a whole into other databank systems, without prior written consent
from CCG-UNAM.

Citation

User is committed to cite properly the use of RegulonDB. The current most
update publication concerning RegulonDB is:
Socorro Gama-Castro, Verónica Jiménez-Jacinto, Martin Peralta-Gil,
Alberto Santos-Zavaleta, Monica I. Peñaloza-Spindola, Bruno Contreras-Moreira,
Juan Segura-Salazar, Luis Muñiz-Rascado, Irma Martínez-Flores, Heladia Salgado,
César Bonavides-Martínez, Cei Abreu-Goodger, Carlos Rodriguez-Penagos, Juan Miranda-Rios,
Enrique Morett, Enrique Merino, Araceli M. Huerta, Luis Treviño-Quintanilla and Julio Collado-Vides.
"RegulonDB (Version 6.0): gene regulation model of Escherichia coli K-12 
beyond transcription, active (experimental) annotated promoters and textpresso navigation"
Nucleic Acids Research, 2008, vol 36.  D120-D124

Release: 6.3 Date: 30-JAN-09
_________________________________________________________________________________

Columns:
	(1) Gene identifier assigned by RegulonDB
	(2) Gene name 
	(3) Blattner number (bnumber) of the gene
	(4) Gene left end position in the genome
	(5) Gene right end position in the genome
	(6) DNA strand where the gene is coded
	(7) Product name of the gene
ECK120003843	ypeA	b2434	2549735	2550160	reverse	predicted acyltransferase with acyl-CoA N-acyltransferase domain
ECK120001755	amiA	b2435	2550374	2551243	forward	N-acetylmuramoyl-L-alanine amidase 1
ECK120002078	hemF	b2436	2551247	2552146	forward	coproporphyrinogen oxidase, aerobic
ECK120002079	eutR	b2437	2552152	2553204	reverse	putative ARAC-type regulatory protein
ECK120003844	eutK	b2438	2553250	2553750	reverse	predicted carboxysome structural protein with predicted role in ethanolamine utilization
ECK120003845	eutL	b2439	2553763	2554422	reverse	predicted carboxysome structural protein with predicted role in ethanolamine utilization
ECK120002566	eutC	b2440	2554432	2555319	reverse	ethanolamine ammonia-lyase, probable catalytic subunit
ECK120002565	eutB	b2441	2555340	2556701	reverse	ethanolamine ammonia-lyase, probable regulatory subunit
ECK120003846	intZ	b2442	2556793	2558088	forward	CPZ-55 prophage; predicted integrase
ECK120003847	yffL	b2443	2558279	2558920	forward	CPZ-55 prophage; predicted protein
ECK120003848	yffM	b2444	2559390	2559635	forward	CPZ-55 prophage; predicted protein
ECK120003849	yffN	b2445	2559632	2560015	forward	CPZ-55 prophage; predicted protein
ECK120003850	yffO	b2446	2560133	2560549	forward	CPZ-55 prophage; predicted protein
ECK120003851	yffP	b2447	2560546	2561139	forward	CPZ-55 prophage; predicted protein
ECK120003852	yffQ	b2448	2561599	2561991	forward	CPZ-55 prophage; predicted protein
ECK120003853	yffR	b2449	2562002	2562394	forward	CPZ-55 prophage; predicted protein
ECK120003854	yffS	b2450	2562515	2563354	forward	CPZ-55 prophage; predicted protein
ECK120003855	eutA	b2451	2563503	2564906	reverse	reactivating factor for ethanolamine ammonia lyase EutBC
ECK120003856	eutH	b2452	2564903	2566129	reverse	predicted inner membrane protein
ECK120003857	eutG	b2453	2566346	2567533	reverse	predicted alcohol dehydrogenase in ethanolamine utilization
ECK120003858	eutJ	b2454	2567523	2568359	reverse	predicted chaperonin, ethanolamine utilization protein
ECK120003859	eutE	b2455	2568370	2569773	reverse	predicted aldehyde dehydrogenase, ethanolamine utilization protein
ECK120003860	eutN	b2456	2569785	2570072	reverse	predicted carboxysome structural protein
ECK120003861	eutM	b2457	2570179	2570472	reverse	predicted carboxysome structural protein, ethanolamine utilization protein
ECK120003862	eutD	b2458	2570511	2571527	reverse	predicted phosphotransacetylase subunit
ECK120003863	eutT	b2459	2571524	2572327	reverse	predicted cobalamine adenosyltransferase in ethanolamine utilization
ECK120003864	eutQ	b2460	2572324	2573025	reverse	conserved protein
ECK120003865	eutP	b2461	2573000	2573479	reverse	conserved protein with nucleoside triphosphate hydrolase domain
ECK120003866	eutS	b2462	2573492	2573827	reverse	predicted carboxysome structural protein with predicted role in ethanolamine utilization
ECK120003867	maeB	b2463	2574120	2576399	reverse	MaeB
ECK120001731	talA	b2464	2576688	2577638	forward	transaldolase A
ECK120002005	tktB	b2465	2577658	2579661	forward	
ECK120003868	ypfG	b2466	2579756	2580799	reverse	predicted protein
ECK120002271	nudK	b2467	2580925	2581500	reverse	nucleotide-sugar hydrolase
ECK120002270	aegA	b2468	2581568	2583547	reverse	putative oxidoreductase,  Fe-S subunit
ECK120001423	narQ	b2469	2583753	2585453	forward	NarQ
ECK120000012	acrD	b2470	2585617	2588730	forward	AcrD
ECK120002599	ypfM	b4606	2588829	2588888	reverse	hypothetical protein
ECK120001131	yffB	b2471	2589269	2589625	forward	conserved protein
ECK120000202	dapE	b2472	2589629	2590756	forward	<i>N</i>-succinyl-L-diaminopimelate desuccinylase subunit
ECK120016315	ypfN	b4547	2590784	2590984	forward	predicted protein
ECK120003869	ypfH	b2473	2591094	2591792	reverse	esterase
ECK120003870	tmcA	b2474	2591866	2593881	reverse	tRNA<sup>Met</sup> cytidine acetyltransferase
ECK120003871	ypfJ	b2475	2593896	2594759	reverse	conserved protein
ECK120000782	purC	b2476	2594927	2595640	reverse	PurC
ECK120000651	bamC	b2477	2595853	2596887	reverse	NlpB
ECK120000199	dapA	b2478	2596904	2597782	reverse	DapA
ECK120001132	gcvR	b2479	2597928	2598500	forward	GcvR predicted transcriptional regulator
ECK120000104	bcp	b2480	2598500	2598970	forward	thiol peroxidase
ECK120001133	hyfA	b2481	2599223	2599840	forward	hydrogenase 4, component A
ECK120001255	hyfB	b2482	2599840	2601858	forward	hydrogenase 4, component B
ECK120003872	hyfC	b2483	2601869	2602816	forward	hydrogenase 4, component C
ECK120003873	hyfD	b2484	2602833	2604272	forward	hydrogenase 4, component D
ECK120003874	hyfE	b2485	2604284	2604934	forward	hydrogenase 4, component E
ECK120003875	hyfF	b2486	2604939	2606519	forward	hydrogenase 4, component F
ECK120003876	hyfG	b2487	2606509	2608176	forward	hydrogenase 4, large subunit
ECK120003877	hyfH	b2488	2608186	2608731	forward	hydrogenase 4, component H
ECK120003878	hyfI	b2489	2608728	2609486	forward	hydrogenase 4, small subunit
ECK120003879	hyfJ	b2490	2609479	2609892	forward	hydrogenase 4 component J, putative protein processing element
ECK120003880	hyfR	b2491	2609922	2611934	forward	HyfR transcriptional activator
ECK120003881	focB	b2492	2611956	2612804	forward	FocB formate FNT transporter
ECK120003882	yfgO	b2493	2612842	2613903	reverse	predicted inner membrane protein
ECK120003883	yfgC	b2494	2614116	2615579	forward	predicted peptidase
ECK120003884	yfgD	b2495	2615600	2615959	forward	predicted oxidoreductase
ECK120003885	hda	b2496	2616097	2616843	reverse	regulator of DnaA that prevents premature reinitiation of DNA replication
ECK120002031	uraA	b2497	2616893	2618182	reverse	UraA uracil NCS2 transporter
ECK120001303	upp	b2498	2618268	2618894	reverse	Upp
ECK120000789	purM	b2499	2619219	2620256	forward	PurM
ECK120000790	purN	b2500	2620256	2620894	forward	phosphoribosylglycinamide formyltransferase
ECK120001466	ppk	b2501	2621066	2623132	forward	Ppk
ECK120001369	ppx	b2502	2623137	2624678	forward	exopolyphosphatase monomer
ECK120003886	yfgF	b2503	2624717	2626960	reverse	predicted inner membrane protein
ECK120003887	yfgG	b2504	2627312	2627503	forward	predicted protein
ECK120003888	yfgH	b2505	2627814	2628332	forward	predicted outer membrane lipoprotein
ECK120003889	yfgI	b2506	2628348	2628887	forward	putative membrane protein
ECK120000413	guaA	b2507	2628980	2630557	reverse	GMP synthetase
ECK120000414	guaB	b2508	2630626	2632092	reverse	GuaB
ECK120001061	xseA	b2509	2632254	2633624	forward	exonuclease VII, large subunit
ECK120003890	yfgJ	b2510	2633621	2633836	reverse	predicted protein
ECK120003891	der	b2511	2633906	2635378	reverse	50S ribosomal subunit stability factor
ECK120003892	bamB	b2512	2635496	2636674	reverse	YfgL
ECK120003893	yfgM	b2513	2636685	2637305	reverse	conserved protein
ECK120000446	hisS	b2514	2637323	2638597	reverse	histidyl-tRNA synthetase
ECK120002645	sroE		2638617	2638708	reverse	SroE small RNA
ECK120000363	ispG	b2515	2638708	2639826	reverse	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase
ECK120000013	yfgA	b2516	2639853	2640866	reverse	conserved protein
ECK120002263	rlmN	b2517	2641151	2642305	reverse	23S rRNA m<sup>2</sup>A2503 methyltransferase
ECK120000643	ndk	b2518	2642455	2642886	reverse	Ndk
ECK120003894	pbpC	b2519	2643035	2645347	reverse	putative peptidoglycan enzyme
ECK120003895	yfhM	b2520	2645348	2650309	reverse	conserved protein
ECK120001548	sseA	b2521	2650516	2651361	forward	3-mercaptopyruvate:cyanide sulfurtransferase
ECK120002618	C0614		2651474	2651560	reverse	C0614 small RNA
ECK120002619	IS128		2651537	2651745	forward	IS128 small RNA
ECK120002590	ryfA	b4440	2651877	2652180	forward	RyfA small RNA
ECK120001549	sseB	b2522	2652179	2652955	reverse	overproduction causes enhanced serine sensitivity
ECK120002187	pepB	b2523	2653097	2654380	reverse	aminopeptidase B
ECK120002188	iscX	b2524	2654558	2654758	reverse	protein with possible role in iron-sulfur cluster biogenesis
ECK120001299	fdx	b2525	2654770	2655105	reverse	reduced ferredoxin
ECK120002032	hscA	b2526	2655107	2656957	reverse	chaperone, member of Hsp70 protein family
ECK120002033	hscB	b2527	2656974	2657489	reverse	Hsc20 co-chaperone that acts with Hsc66 in IscU iron-sulfur cluster assembly
ECK120002034	iscA	b2528	2657585	2657908	reverse	iron-sulfur cluster assembly protein
ECK120003896	iscU	b2529	2657925	2658311	reverse	scaffold protein involved in iron-sulfur cluster assembly
ECK120003897	iscS	b2530	2658339	2659553	reverse	cysteine desulfurase monomer
ECK120003898	iscR	b2531	2659665	2660153	reverse	IscR transcriptional dual regulator
ECK120003899	trmJ	b2532	2660605	2661345	reverse	tRNA:Cm32/Um32 methyltransferase
ECK120000972	suhB	b2533	2661464	2662267	forward	inositol monophosphatase
ECK120003900	yfhR	b2534	2662385	2663266	forward	predicted peptidase
ECK120003901	csiE	b2535	2663457	2664737	forward	stationary phase inducible protein
ECK120003902	hcaT	b2536	2664729	2665868	reverse	HcaT MFS transporter
ECK120003903	hcaR	b2537	2666028	2666918	reverse	HcaR transcriptional dual regulator
ECK120004468	hcaE	b2538	2667054	2668415	forward	3-phenylpropionate dioxygenase, &alpha; subunit
ECK120004474	hcaF	b2539	2668412	2668930	forward	3-phenylpropionate dioxygenase, &beta; subunit
ECK120003904	hcaC	b2540	2668930	2669250	forward	3-phenylpropionate dioxygenase, predicted ferredoxin subunit
ECK120003905	hcaB	b2541	2669247	2670059	forward	3-phenylpropionate-2',3'-dihydrodiol dehydrogenase
ECK120003906	hcaD	b2542	2670069	2671271	forward	ferredoxin NAD+ reductase
ECK120003907	yphA	b2543	2671296	2671790	forward	predicted inner membrane protein
ECK120003908	yphB	b2544	2671838	2672710	reverse	conserved protein
ECK120003909	yphC	b2545	2672722	2673783	reverse	predicted oxidoreductase, Zn-dependent and NAD(P)-binding
ECK120003910	yphD	b2546	2673849	2674847	reverse	YphD
ECK120003911	yphE	b2547	2674872	2676383	reverse	YphE
ECK120003912	yphF	b2548	2676406	2677389	reverse	YphF
ECK120003913	yphG	b2549	2677486	2680767	reverse	conserved protein
ECK120003914	yphH	b2550	2680885	2682078	forward	predicted DNA-binding transcriptional regulator, NAGC-like
ECK120000401	glyA	b2551	2682276	2683529	reverse	GlyA
ECK120000449	hmp	b2552	2683857	2685047	forward	fused nitric oxide dioxygenase and dihydropteridine reductase 2
ECK120000377	glnB	b2553	2685092	2685430	reverse	PII
ECK120001258	yfhA	b2554	2685491	2686825	reverse	predicted DNA-binding response regulator in two-component system
ECK120002040	yfhG	b2555	2686815	2687528	reverse	conserved protein
ECK120003915	yfhK	b2556	2687693	2689120	reverse	predicted sensory kinase in two-component system
ECK120002620	glmY	b4441	2689179	2689362	reverse	GlmY small RNA
ECK120000788	purL	b2557	2689678	2693565	reverse	phosphoribosylformylglycinamide synthase
ECK120001341	mltF	b2558	2693823	2695379	forward	membrane-bound lytic murein transglycosylase F
ECK120001340	tadA	b2559	2695376	2695879	reverse	tRNA-specific adenosine deaminase monomer
ECK120001339	yfhB	b2560	2695937	2696572	reverse	conserved protein
ECK120002185	yfhH	b2561	2696781	2697629	forward	predicted DNA-binding transcriptional regulator
ECK120003916	yfhL	b2562	2697685	2697945	forward	predicted 4Fe-4S cluster-containing protein
ECK120030081	ryfB	b4607	2698081	2698399	reverse	RyfB small RNA
ECK120030082	ryfC	b4608	2698542	2698618	forward	RyfC small RNA
ECK120000241	acpS	b2563	2698640	2699020	reverse	AcpS
ECK120000685	pdxJ	b2564	2699020	2699751	reverse	pyridoxine 5'-phosphate synthase monomer
ECK120000823	recO	b2565	2699763	2700491	reverse	protein interacts with RecR and possibly RecF proteins
ECK120000264	era	b2566	2700503	2701408	reverse	GTP-binding protein
ECK120000848	rnc	b2567	2701405	2702085	reverse	RNase III
ECK120000523	lepB	b2568	2702357	2703331	reverse	leader peptidase (signal peptidase I)
ECK120000522	lepA	b2569	2703347	2705146	reverse	elongation factor 4
ECK120003917	rseC	b2570	2705344	2705823	reverse	SoxR and Sigma-E factor regulatory protein RseC
ECK120003918	rseB	b2571	2705820	2706776	reverse	rseB
ECK120002216	rseA	b2572	2706776	2707426	reverse	anti-sigma factor
ECK120001827	rpoE	b2573	2707459	2708034	reverse	RNA polymerase, sigma 24 (sigma E) factor
ECK120000624	nadB	b2574	2708442	2710064	forward	L-aspartate oxidase
ECK120001492	yfiC	b2575	2710049	2710786	reverse	predicted S-adenosyl-L-methionine-dependent methyltransferase
ECK120000964	srmB	b2576	2710918	2712252	forward	SrmB, DEAD-box RNA helicase
ECK120001719	yfiE	b2577	2712461	2713342	reverse	predicted DNA-binding transcriptional regulator LYSR-type
ECK120002298	eamB	b2578	2713445	2714032	forward	O-Acetylserine/Cysteine Efflux Permease
ECK120001718	yfiD	b2579	2714088	2714471	reverse	stress-induced alternate pyruvate formate-lyase subunit
ECK120001047	ung	b2580	2714776	2715465	forward	uracil-DNA-glycosylase
ECK120001720	yfiF	b2581	2715513	2716550	reverse	predicted methyltransferase
ECK120001817	trxC	b2582	2716757	2717176	forward	reduced thioredoxin 2
ECK120003919	yfiP	b2583	2717245	2717943	forward	conserved protein
ECK120003920	yfiQ	b2584	2717975	2720635	forward	fused predicted acyl-CoA synthetase: NAD(P)-binding subunit, ATP-binding subunit
ECK120000772	pssA	b2585	2720749	2722104	forward	PssA
ECK120002404	yfiM	b2586	2722201	2722473	forward	predicted protein
ECK120000515	kgtP	b2587	2722470	2723768	reverse	KgtP &alpha;-ketoglutarate MFS transporter
ECK120002517	rrfG	b2588	2724091	2724210	reverse	rrfG 5S ribosomal RNA
ECK120002524	rrlG	b2589	2724303	2727206	reverse	rrlG 23S ribosomal RNA
ECK120002477	gltW	b2590	2727391	2727466	reverse	tRNA<SUP>gltW</SUP>
ECK120002531	rrsG	b2591	2727638	2729179	reverse	rrsG 16S ribosomal RNA
ECK120000153	clpB	b2592	2729622	2732195	reverse	ClpB chaperone
ECK120030083	ryfD	b4609	2732175	2732317	reverse	RyfD small RNA
ECK120002002	yfiH	b2593	2732325	2733056	reverse	conserved protein
ECK120002003	rluD	b2594	2733053	2734033	reverse	23S rRNA pseudouridine synthase
ECK120003921	bamD	b2595	2734168	2734905	forward	YfiO
ECK120003922	Phantom Gene		2734935	2735141	forward	
ECK120001134	raiA	b2597	2735176	2735517	forward	stationary phase translation inhibitor and ribosome stability factor
ECK120001245	pheL	b2598	2735621	2735668	forward	leader peptide of chorismate mutase-P-prephenate dehydratase
ECK120000699	pheA	b2599	2735767	2736927	forward	PheA
ECK120001028	tyrA	b2600	2736970	2738091	reverse	TyrA
ECK120000074	aroF	b2601	2738102	2739172	reverse	AroF
ECK120002299	yfiL	b2602	2739382	2739747	forward	putative lipoprotein
ECK120003923	yfiR	b2603	2739897	2740415	forward	predicted protein
ECK120002419	yfiN	b2604	2740405	2741631	forward	predicted diguanylate cyclase
ECK120001135	yfiB	b2605	2741647	2742129	forward	predicted outer membrane lipoprotein
ECK120000871	rplS	b2606	2742205	2742552	reverse	50S ribosomal subunit protein L19
ECK120001012	trmD	b2607	2742594	2743361	reverse	TrmD
ECK120001136	rimM	b2608	2743392	2743940	reverse	ribosome maturation protein
ECK120000906	rpsP	b2609	2743959	2744207	reverse	30S ribosomal subunit protein S16
ECK120000294	ffh	b2610	2744456	2745817	reverse	protein component of the signal recognition particle (SRP)
ECK120003924	ypjD	b2611	2745909	2746775	forward	predicted inner membrane protein
ECK120002295	yfjD	b4461	2746886	2748082	forward	predicted inner membrane protein
ECK120000409	grpE	b2614	2748137	2748730	reverse	phage lambda replication; host DNA synthesis; heat shock protein; protein repair
ECK120002081	nadK	b2615	2748853	2749731	forward	NAD kinase monomer
ECK120000822	recN	b2616	2749817	2751478	forward	protein used in recombination and DNA repair
ECK120000941	smpA	b2617	2751627	2751968	forward	SmpA
ECK120003925	yfjF	b2618	2752030	2752320	reverse	predicted protein
ECK120003926	yfjG	b2619	2752310	2752786	reverse	toxin of a putative toxin-antitoxin pair
ECK120001716	smpB	b2620	2752918	2753400	forward	small protein B
ECK120002542	ssrA	b2621	2753615	2753977	forward	tmRNA
ECK120001717	intA	b2622	2754181	2755422	forward	CP4-57 prophage; integrase
ECK120003927	yfjH	b2623	2755666	2756622	reverse	CP4-57 prophage; predicted protein
ECK120002016	alpA	b2624	2756666	2756878	forward	AlpA transcriptional activator; CP4-57 prophage
ECK120003928	yfjI	b2625	2757007	2758416	forward	CP4-57 prophage; predicted protein
ECK120003929	yfjJ	b2626	2758569	2759195	forward	CP4-57 prophage; predicted protein
ECK120003930	yfjK	b2627	2759373	2761562	reverse	CP4-57 prophage; conserved protein
ECK120003931	yfjL	b2628	2761559	2763175	reverse	CP4-57 prophage; predicted protein
ECK120003932	yfjM	b2629	2763535	2763798	reverse	CP4-57 prophage; predicted protein
ECK120003933	rnlA	b2630	2763940	2765013	forward	CP4-57 prophage; RNase LS
ECK120003934	yfjO	b2631	2765006	2765377	forward	CP4-57 prophage; predicted protein
ECK120003935	yfjP	b2632	2765732	2766595	forward	CP4-57 prophage; predicted GTP-binding protein
ECK120003936	yfjQ	b2633	2766687	2767508	forward	CP4-57 prophage; predicted protein
ECK120003937	yfjR	b2634	2767725	2768426	forward	CP4-57 prophage; predicted DNA-binding transcriptional regulator
ECK120003938	ypjK	b2635	2768467	2768703	forward	CP4-57 prophage; predicted inner membrane protein
ECK120003939	yfjS	b2636	2768703	2769146	forward	CP4-57 prophage; inner membrane lipoprotein YfjS
ECK120003940	yfjT	b2637	2769170	2769637	forward	CP4-57 prophage; predicted protein
ECK120003941	yfjU	b2638	2769862	2770176	reverse	CP4-57 prophage; conserved protein
ECK120003942	ypjL	b2639	2770189	2770707	reverse	CP4-57 prophage; predicted inner membrane protein
ECK120003943	yfjV	b2640	2770858	2771058	reverse	CP4-57 prophage; predicted protein
ECK120003944	ypjM	b2641	2770998	2771180	reverse	CP4-57 prophage; predicted protein
ECK120003945	yfjW	b2642	2771340	2773043	forward	CP4-57 prophage; predicted inner membrane protein
ECK120003946	yfjX	b2643	2773941	2774399	forward	CP4-57 prophage; predicted antirestriction protein
ECK120003947	yfjY	b2644	2774408	2774890	forward	CP4-57 prophage; predicted DNA repair protein
ECK120016316	ypjJ	b4548	2774899	2775099	forward	CP4-57 prophage; predicted protein
ECK120003948	yfjZ	b2645	2775137	2775454	forward	CP4-57 prophage; predicted antitoxin of the YpjF-YfjZ toxin-antitoxin system
ECK120003949	ypjF	b2646	2775475	2775804	forward	CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system
ECK120003950	ypjA	b2647	2776168	2780748	reverse	adhesin-like autotransporter
ECK120003951	pinH		2781087	2781230	reverse	predicted invertase fragment
ECK120003952	ypjB	b2649	2781660	2782451	reverse	predicted protein
ECK120003953	ypjC	b2650	2782551	2783033	reverse	predicted protein
ECK120003954	Phantom Gene		2783243	2783374	forward	
ECK120003955	ileY	b2652	2783784	2783859	reverse	tRNA<SUP>ileY</SUP>
ECK120003956	Phantom Gene		2783822	2783995	reverse	
ECK120003957	ygaQ	b2654	2784419	2784751	forward	predicted protein
ECK120003958	ygaR	b4462	2784770	2785456	forward	predicted protein
ECK120003959	yqaC		2785664	2786260	forward	conserved protein
ECK120003960	yqaD	b2658	2786399	2786671	forward	conserved protein
ECK120003961	csiD	b2659	2787007	2787984	forward	predicted protein
ECK120002252	lhgO	b2660	2788004	2789272	forward	L-2-hydroxyglutarate oxidase
ECK120001300	gabD	b2661	2789295	2790743	forward	
ECK120000354	gabT	b2662	2790757	2792037	forward	4-aminobutyrate aminotransferase monomer
ECK120001301	gabP	b2663	2792275	2793675	forward	GabP APC transporter
ECK120002251	csiR	b2664	2793696	2794358	forward	CsiR transcriptional repressor
ECK120003962	ygaU	b2665	2794359	2794808	reverse	predicted protein
ECK120003963	yqaE	b2666	2794892	2795050	reverse	predicted membrane protein
ECK120003964	ygaV	b2667	2795233	2795532	forward	predicted DNA-binding transcriptional regulator
ECK120003965	ygaP	b2668	2795542	2796066	forward	predicted inner membrane protein with hydrolase activity
ECK120001507	stpA	b2669	2796113	2796517	reverse	H-NS-like DNA-binding protein with RNA chaperone activity
ECK120003966	ygaW	b2670	2797186	2797635	forward	predicted inner membrane protein
ECK120002089	ygaC	b2671	2797672	2798016	reverse	predicted protein
ECK120003967	ygaM	b2672	2798156	2798497	forward	predicted protein
ECK120003968	nrdH	b2673	2798745	2798990	forward	glutaredoxin-like protein
ECK120003969	nrdI	b2674	2798987	2799397	forward	conserved protein that may stimulate ribonucleotide reductase
ECK120002450	nrdE	b2675	2799370	2801514	forward	NrdE
ECK120002248	nrdF	b2676	2801524	2802483	forward	NrdF
ECK120000762	proV	b2677	2802837	2804039	forward	ProV
ECK120000763	proW	b2678	2804032	2805096	forward	ProW
ECK120000764	proX	b2679	2805154	2806146	forward	ProX
ECK120003970	ygaX	b2680	2806338	2806604	forward	predicted transporter
ECK120003971	ygaY	b2681	2806634	2807515	forward	predicted transporter
ECK120003972	ygaZ	b2682	2807639	2808376	forward	YgaZ L-valine LIV-E exporter
ECK120003973	ygaH	b2683	2808366	2808701	forward	YgaH L-valine exporter
ECK120000596	mprA	b2684	2808792	2809322	forward	MprA transcriptional repressor
ECK120001323	emrA	b2685	2809449	2810621	forward	EmrA Membrane Fusion Protein
ECK120001403	emrB	b2686	2810638	2812176	forward	EmrB multidrug MFS transporter
ECK120002369	luxS	b2687	2812240	2812755	reverse	S-ribosylhomocysteine lyase (AI-2 synthesis protein)
ECK120002578	micA	b4442	2812824	2812895	forward	MicA small RNA
ECK120000411	gshA	b2688	2812905	2814461	reverse	glutamate-cysteine ligase
ECK120003974	yqaA	b2689	2814534	2814962	reverse	conserved inner membrane protein
ECK120003975	yqaB	b2690	2814959	2815525	reverse	fructose-1-phosphatase
ECK120002456	argQ	b2691	2815806	2815882	reverse	tRNA<SUP>argQ</SUP>
ECK120002462	argZ	b2692	2816081	2816157	reverse	tRNA<SUP>argZ</SUP>
ECK120002461	argY	b2693	2816220	2816296	reverse	tRNA<SUP>argY</SUP>
ECK120002458	argV	b2694	2816495	2816571	reverse	tRNA<SUP>argV</SUP>
ECK120002537	serV	b2695	2816575	2816667	reverse	tRNA<SUP>serV</SUP>
ECK120001410	csrA	b2696	2816983	2817168	reverse	carbon storage regulator; pleiotropic regulatory protein for carbon source metabolism
ECK120000031	alaS	b2697	2817403	2820033	reverse	alanyl-tRNA synthetase
ECK120001986	recX	b2698	2820161	2820661	reverse	inhibitor of RecA
ECK120000814	recA	b2699	2820730	2821791	reverse	DNA strand exchange and recombination protein with protease and nuclease activity
ECK120003976	ygaD	b2700	2821871	2822368	reverse	conserved protein
ECK120003977	mltB	b2701	2822513	2823598	reverse	membrane-bound lytic murein transglycosylase B
ECK120004460	srlA	b2702	2823854	2824417	forward	glucitol/sorbitol-specific enzyme IIC component of PTS
ECK120000958	srlE	b2703	2824414	2825373	forward	glucitol/sorbitol-specific enzyme IIB component of PTS
ECK120000959	srlB	b2704	2825384	2825755	forward	glucitol/sorbitol-specific enzyme IIA component of PTS
ECK120000960	srlD	b2705	2825759	2826538	forward	SrlD
ECK120000961	gutM	b2706	2826643	2827002	forward	GutM transcriptional activator
ECK120000963	srlR	b2707	2827069	2827842	forward	GutR transcriptional repressor
ECK120000962	gutQ	b2708	2827835	2828800	forward	D-arabinose 5-phosphate isomerase
ECK120002013	norR	b2709	2828797	2830311	reverse	NorR transcriptional dual regulator
ECK120003978	norV	b2710	2830498	2831937	forward	flavorubredoxin
ECK120002302	norW	b2711	2831934	2833067	forward	flavorubredoxin reductase
ECK120002621	C0664		2833077	2833189	forward	C0664 small RNA
ECK120001504	hypF	b2712	2833195	2835447	reverse	hydrogenase maturation protein, carbamoyl phosphate phosphatase
ECK120001505	hydN	b2713	2835600	2836127	reverse	putative electron transport protein HydN
ECK120000083	ascG	b2714	2836276	2837289	reverse	AscG transcriptional repressor
ECK120000082	ascF	b2715	2837546	2839003	forward	AscF
ECK120000081	ascB	b2716	2839012	2840436	forward	6-phospho-&beta;-glucosidase; cryptic
ECK120003979	hycI	b2717	2840595	2841065	reverse	hydrogenase 3 maturation protease
ECK120000474	hycH	b2718	2841058	2841468	reverse	protein required for maturation of hydrogenase 3
ECK120000473	hycG	b2719	2841465	2842232	reverse	hydrogenase 3 and formate hydrogenlyase complex, HycG subunit
ECK120000472	hycF	b2720	2842232	2842774	reverse	formate hydrogenlyase complex iron-sulfur protein
ECK120000471	hycE	b2721	2842784	2844493	reverse	hydrogenase 3, large subunit
ECK120000470	hycD	b2722	2844511	2845434	reverse	hydrogenase 3, membrane subunit
ECK120000469	hycC	b2723	2845437	2847263	reverse	hydrogenase 3, membrane subunit
ECK120000468	hycB	b2724	2847260	2847871	reverse	hydrogenase 3, Fe-S subunit
ECK120000467	hycA	b2725	2847996	2848457	reverse	regulator of the transcriptional regulator FhlA
ECK120000476	hypA	b2726	2848669	2849019	forward	accessory protein for nickel incorporation into hydrogenase 3
ECK120000477	hypB	b2727	2849023	2849895	forward	accessory protein for nickel incorporation into hydrogenase isoenzymes
ECK120000478	hypC	b2728	2849886	2850158	forward	protein involved in hydrogenase 3 maturation
ECK120000479	hypD	b2729	2850158	2851279	forward	protein involved in maturation of hydrogenase isoenzymes
ECK120000480	hypE	b2730	2851318	2852286	forward	hydrogenase maturation protein, carbamoyl dehydratase
ECK120000295	fhlA	b2731	2852360	2854438	forward	FhlA transcriptional activator
ECK120001260	ygbA	b2732	2854475	2854828	reverse	predicted protein
ECK120000618	mutS	b2733	2855115	2857676	forward	MutS
ECK120003980	pphB	b2734	2857782	2858438	forward	protein-tyrosine-phosphatase/phosphoprotein phosphatase
ECK120003981	ygbI	b2735	2858489	2859286	reverse	predicted DNA-binding transcriptional regulator, DEOR-type
ECK120003982	ygbJ	b2736	2859452	2860360	forward	predicted dehydrogenase, with NAD(P)-binding Rossmann-fold domain
ECK120003983	ygbK	b2737	2860357	2861523	forward	conserved protein
ECK120003984	ygbL	b2738	2861615	2862253	forward	predicted class II aldolase
ECK120003985	ygbM	b2739	2862258	2863034	forward	conserved protein
ECK120003986	ygbN	b2740	2863123	2864487	forward	YgbN Gnt transporter
ECK120000503	rpoS	b2741	2864581	2865573	reverse	RNA polymerase, sigma S (sigma 38) factor
ECK120002015	nlpD	b2742	2865636	2866775	reverse	NlpD putative outer membrane lipoprotein
ECK120000682	pcm	b2743	2866915	2867541	reverse	L-isoaspartate protein carboxylmethyltransferase type II
ECK120001750	surE	b2744	2867535	2868296	reverse	broad specificity 5'(3')-nucleotidase and polyphosphatase
